user  totalDuration  totalTxs  minDurationPerTx   meanDurationPerTx  maxDurationPerTx
user182 1 1 0 0 0
user183 1 1 0 0 0
user184 1 1 0 0 0
user185 535817 2 535816 535816.0 535816
user186 580364 2 580363 580363.0 580363
user187 581614 7 60 96935.5 579980
user188 1 1 0 0 0
user189 1488898 7 1 248149.5 1485361
user190 1 1 0 0 0
user191 1677 2 1676 1676.0 1676
user192 35 2 34 34.0 34
user193 68 2 67 67.0 67
user194 1 1 0 0 0
user195 49 2 48 48.0 48
user196 20 2 19 19.0 19
user197 316112 6 24 63222.2 304697
user198 1 1 0 0 0
user199 13091 4 441 4363.333333333333 7688
user200 129 2 128 128.0 128
user201 6620 2 6619 6619.0 6619
user202 11103 3 4542 5551.0 6560
user203 1 1 0 0 0
user204 20 2 19 19.0 19
user205 1 1 0 0 0
user206 3057 2 3056 3056.0 3056
user207 988 3 18 493.5 969
user208 1 1 0 0 0
user209 352 2 351 351.0 351
user210 27635 3 90 13817.0 27544
user211 1 1 0 0 0
user212 27300 3 127 13649.5 27172
user213 1676 2 1675 1675.0 1675
user214 1 1 0 0 0
user215 1 1 0 0 0
user216 87032 31 22 2901.0333333333333 35792
user217 75 3 25 37.0 49
user218 103340 22 140 4920.9047619047615 61205
user219 663 2 662 662.0 662
user220 1 1 0 0 0
user221 270099 29 12 9646.357142857143 255510
user222 4584 3 211 2291.5 4372
user223 12255 4 66 4084.6666666666665 10375
user224 48 2 47 47.0 47
user225 1 1 0 0 0
user226 1 1 0 0 0
user227 20 2 19 19.0 19
user228 1 1 0 0 0
user229 59366 2 59365 59365.0 59365
user230 1 1 0 0 0
user231 117442 3 29368 58720.5 88073
user232 1 1 0 0 0
user233 69 2 68 68.0 68
user234 2209 6 112 441.6 1211
user235 292 9 16 36.375 116
user236 31 3 10 15.0 20
user237 1 1 0 0 0
user238 1 1 0 0 0
user239 801 3 346 400.0 454
user240 520 2 519 519.0 519
user241 957 3 274 478.0 682
user242 1 1 0 0 0
user243 252 2 251 251.0 251
user244 1 1 0 0 0
user245 1 1 0 0 0
user246 1 1 0 0 0
user247 1 1 0 0 0
user248 1 1 0 0 0
user249 1 1 0 0 0
user250 1 1 0 0 0
user251 1 1 0 0 0
user252 1 1 0 0 0
user253 1 1 0 0 0
user254 1 1 0 0 0
user255 122 2 121 121.0 121
user256 1 1 0 0 0
user257 1 1 0 0 0
user258 160519 8 657 22931.14285714286 76228
user259 1 1 0 0 0
user260 1 1 0 0 0
user261 62568 4 413 20855.666666666668 61557
user262 77065 8 264 11009.142857142857 72671
user263 1 1 0 0 0
user264 1 1 0 0 0
user265 1 1 0 0 0
user266 131 3 31 65.0 99
user267 1 1 0 0 0
user268 1 1 0 0 0
user269 1 1 0 0 0
user270 79 3 38 39.0 40
user271 80 2 79 79.0 79
user272 1 1 0 0 0
user273 99 2 98 98.0 98
user274 1 1 0 0 0
user275 1 1 0 0 0
user276 1 1 0 0 0
user277 1 1 0 0 0
user278 2998 3 64 1498.5 2933
user279 769 3 200 384.0 568
user280 1758 3 257 878.5 1500
user281 1 1 0 0 0
user282 1 1 0 0 0
user283 73 2 72 72.0 72
user284 1 1 0 0 0
user285 1 1 0 0 0
user286 139 2 138 138.0 138
user287 585 2 584 584.0 584
user288 1 1 0 0 0
user289 1 1 0 0 0
user290 467 4 82 155.33333333333334 256
user291 1 1 0 0 0
user292 1953 2 1952 1952.0 1952
user293 1 1 0 0 0
user294 1 1 0 0 0
user295 1 1 0 0 0
user296 1 1 0 0 0
user297 1 1 0 0 0
user298 268 4 45 89.0 122
user299 1 1 0 0 0
user300 15241 6 1517 3048.0 5825
user301 270 2 269 269.0 269
user302 1 1 0 0 0
user303 1 1 0 0 0
user304 1 1 0 0 0
user305 1 1 0 0 0
user306 130261 5 160 32565.0 58248
user307 1 1 0 0 0
user308 5644 2 5643 5643.0 5643
user309 26 2 25 25.0 25
user310 1 1 0 0 0
user311 1 1 0 0 0
user312 97463 5 39 24365.5 55616
user313 1 1 0 0 0
user314 1 1 0 0 0
user315 1 1 0 0 0
user316 1 1 0 0 0
user317 1 1 0 0 0
user318 1 1 0 0 0
user319 1395 4 212 464.6666666666667 935
user320 890 10 9 98.77777777777777 284
user321 1 1 0 0 0
user322 1 1 0 0 0
user323 1 1 0 0 0
user324 180312 3 6295 90155.5 174016
user325 1255 6 16 250.8 623
user326 1 1 0 0 0
user327 29313 4 27 9770.666666666666 29248
user328 1 1 0 0 0
user329 1 1 0 0 0
user330 44 2 43 43.0 43
user331 1 1 0 0 0
user332 1 1 0 0 0
user333 436273 66 2 6711.876923076923 45519
user334 26 2 25 25.0 25
user335 1 1 0 0 0
user336 1 1 0 0 0
user337 1 1 0 0 0
user338 1 1 0 0 0
user339 45 2 44 44.0 44
user340 55 2 54 54.0 54
user341 46479 5 1125 11619.5 38318
user342 372863 193 2 1941.9895833333333 76552
user343 306861 13 61 25571.666666666668 212624
user344 330 2 329 329.0 329
user345 1 1 0 0 0
user346 222368 2 222367 222367.0 222367
user347 36934 8 7 5276.142857142857 35825
user348 1 1 0 0 0
user349 1 1 0 0 0
user350 1 1 0 0 0
user351 1 1 0 0 0
user352 29 2 28 28.0 28
user353 1 1 0 0 0
user354 1 1 0 0 0
user355 1 1 0 0 0
user356 38664 9 332 4832.875 19765
user357 436 3 44 217.5 391
user358 1 1 0 0 0
user359 1 1 0 0 0
user360 16482 9 84 2060.125 8339
user361 379 2 378 378.0 378
user362 1 1 0 0 0
user363 148583 9 5 18572.75 92537
user364 1 1 0 0 0
user365 91146 13 26 7595.416666666667 50442
user366 1 1 0 0 0
user367 33 2 32 32.0 32
user368 1 1 0 0 0
user369 1 1 0 0 0
user370 1 1 0 0 0
user371 1 1 0 0 0
user372 398 3 112 198.5 285
user373 59 2 58 58.0 58
user374 1 1 0 0 0
user375 48 2 47 47.0 47
user376 105 2 104 104.0 104
user377 32 2 31 31.0 31
user378 207136 83 19 2526.0365853658536 42356
user379 1 1 0 0 0
user380 1 1 0 0 0
user381 1 1 0 0 0
user382 109835 25 5 4576.416666666667 34644
user383 1 1 0 0 0
user384 267 4 14 88.66666666666667 203
user385 1 1 0 0 0
user386 1 1 0 0 0
user387 1 1 0 0 0
user388 1 1 0 0 0
user389 60492 13 103 5040.916666666667 24273
user390 1167 2 1166 1166.0 1166
user391 1285 7 111 214.0 276
user392 129 2 128 128.0 128
user393 655 9 8 81.75 244
user394 16 2 15 15.0 15
user395 113 5 21 28.0 35
user396 402 2 401 401.0 401
user397 5959 3 1497 2979.0 4461
user398 1 1 0 0 0
user399 2246 5 34 561.25 1155
user400 12 2 11 11.0 11
