Dapp, Number of Roles
Diceether, 7
Diceether, 7
Diceether, 7
Diceether, 5
CryptoPunks, 169
MyCryptoHeroes-presale, 7
MyCryptoHeroes-game, 3
EtherEstates, 8
OpenSea, 8
Superrare, 74
AdEx, 17
MakersPlace, 27
EthexBet, 4
DecentralGames, 3
Degens, 16
OceanMarket, 6
Diceether, 5, 0.10
