user withdrawHeroToAssetOwnerByAdmin mintHero depositHeroToGateway session_count
user1026 0.0 0.0 1.0 3
user1328 0.0 0.0 1.0 6
user207 0.0 0.0 1.0 5
user720 0.0 0.0 1.0 8
user710 0.0 0.0 1.0 7
user1360 0.0 0.0 1.0 1
user911 0.0 0.0 1.0 49
user114 0.0 0.0 1.0 17
user78 0.0 0.0 1.0 17
user1477 0.0 0.0 1.0 2
user758 0.0 0.0 1.0 6
user481 0.0 0.0 1.0 12
user80 0.0 0.0 1.0 2
user708 0.0 0.0 1.0 8
user1300 0.0 0.0 1.0 10
user81 0.0 0.0 1.0 4
user1055 0.0 0.0 1.0 10
user863 0.0 0.0 1.0 12
user83 0.0 0.0 1.0 82
user693 0.0 0.0 1.0 18
user281 0.0 0.0 1.0 23
user705 0.0 0.0 1.0 15
user1072 0.0 0.0 1.0 6
user955 0.0 0.0 1.0 25
user85 0.0 0.0 1.0 29
user655 0.0 0.0 1.0 16
user87 0.0 0.0 1.0 3
user216 0.0 0.0 1.0 10
user1203 0.0 0.0 1.0 1
user89 0.0 0.0 1.0 16
user90 0.0 0.0 1.0 9
user747 0.0 0.0 1.0 6
user642 0.0 0.0 1.0 34
user668 0.0 0.0 1.0 13
user92 0.0 0.0 1.0 13
user93 0.0 0.0 1.0 13
user94 0.0 0.0 1.0 4
user95 0.0 0.0 1.0 8
user964 0.0 0.0 1.0 15
user727 0.0 0.0 1.0 16
user96 0.0 0.0 1.0 12
user1240 0.0 0.0 1.0 1
user1065 0.0 0.0 1.0 6
user632 0.0 0.0 1.0 3
user703 0.0 0.0 1.0 12
user98 0.0 0.0 1.0 3
user99 0.0 0.0 1.0 8
user100 0.0 0.0 1.0 5
user712 0.0 0.0 1.0 9
user101 0.0 0.0 1.0 70
user1337 0.0 0.0 1.0 6
user667 0.0 0.0 1.0 35
user1438 0.0 0.0 1.0 12
user102 0.0 0.0 1.0 26
user103 0.0 0.0 1.0 5
user724 0.0 0.0 1.0 10
user189 0.0 0.0 1.0 11
user106 0.0 0.0 1.0 21
user131 0.0 0.0 1.0 28
user107 0.0 0.0 1.0 13
user1209 0.0 0.0 1.0 7
user108 0.0 0.0 1.0 20
user109 0.0 0.0 1.0 6
user110 0.0 0.0 1.0 6
user122 0.0 0.0 1.0 23
user112 0.0 0.0 1.0 1
user113 0.0 0.0 1.0 3
user419 0.0 0.0 1.0 12
user1415 0.0 0.0 1.0 3
user1458 0.0 0.0 1.0 21
user115 0.0 0.0 1.0 5
user116 0.0 0.0 1.0 1
user117 0.0 0.0 1.0 4
user914 0.0 0.0 1.0 6
user118 0.0 0.0 1.0 11
user1031 0.0 0.0 1.0 14
user1001 0.0 0.0 1.0 4
user119 0.0 0.0 1.0 3
user120 0.0 0.0 1.0 13
user121 0.0 0.0 1.0 6
user829 0.0 0.0 1.0 15
user123 0.0 0.0 1.0 5
user124 0.0 0.0 1.0 7
user611 0.0 0.0 1.0 6
user623 0.0 0.0 1.0 3
user743 0.0 0.0 1.0 2
user707 0.0 0.0 1.0 9
user125 0.0 0.0 1.0 1
user126 0.0 0.0 1.0 7
user209 0.0 0.0 1.0 12
user127 0.0 0.0 1.0 1
user1398 0.0 0.0 1.0 4
user128 0.0 0.0 1.0 5
user130 0.0 0.0 1.0 36
user1109 0.0 0.0 1.0 8
user992 0.0 0.0 1.0 44
user1073 0.0 0.0 1.0 12
user410 0.0 0.0 1.0 17
user628 0.0 0.0 1.0 6
user132 0.0 0.0 1.0 1
user902 0.0 0.0 1.0 28
user408 0.0 0.0 1.0 11
user1037 0.0 0.0 1.0 7
user134 0.0 0.0 1.0 3
user778 0.0 0.0 1.0 22
user135 0.0 0.0 1.0 4
user136 0.0 0.0 1.0 3
user973 0.0 0.0 1.0 11
user138 0.0 0.0 1.0 28
user540 0.0 0.0 1.0 6
user139 0.0 0.0 1.0 7
user1187 0.0 0.0 1.0 7
user140 0.0 0.0 1.0 4
user141 0.0 0.0 1.0 3
user142 0.0 0.0 1.0 15
user792 0.0 0.0 1.0 6
user821 0.0 0.0 1.0 8
user442 0.0 0.0 1.0 11
user674 0.0 0.0 1.0 24
user1006 0.0 0.0 1.0 11
user143 0.0 0.0 1.0 37
user144 0.0 0.0 1.0 8
user145 0.0 0.0 1.0 5
user781 0.0 0.0 1.0 3
user146 0.0 0.0 1.0 13
user147 0.0 0.0 1.0 6
user148 0.0 0.0 1.0 4
user1212 0.0 0.0 1.0 5
user149 0.0 0.0 1.0 6
user634 0.0 0.0 1.0 18
user833 0.0 0.0 1.0 27
user150 0.0 0.0 1.0 14
user151 0.0 0.0 1.0 10
user822 0.0 0.0 1.0 13
user1054 0.0 0.0 1.0 1
user152 0.0 0.0 1.0 5
user212 0.0 0.0 1.0 32
user969 0.0 0.0 1.0 15
user1090 0.0 0.0 1.0 2
user401 0.0 0.0 1.0 9
user1409 0.0 0.0 1.0 3
user1129 0.0 0.0 1.0 11
user1086 0.0 0.0 1.0 17
user153 0.0 0.0 1.0 2
user154 0.0 0.0 1.0 9
user155 0.0 0.0 1.0 7
user870 0.0 0.0 1.0 12
user156 0.0 0.0 1.0 6
user1461 0.0 0.0 1.0 3
user157 0.0 0.0 1.0 7
user158 0.0 0.0 1.0 5
user159 0.0 0.0 1.0 17
user160 0.0 0.0 1.0 6
user161 0.0 0.0 1.0 7
user162 0.0 0.0 1.0 5
user805 0.0 0.0 1.0 1
user163 0.0 0.0 1.0 4
user1035 0.0 0.0 1.0 7
user1102 0.0 0.0 1.0 3
user1219 0.0 0.0 1.0 11
user164 0.0 0.0 1.0 6
user165 0.0 0.0 1.0 8
user167 0.0 0.0 1.0 3
user1444 0.0 0.0 1.0 6
user1149 0.0 0.0 1.0 20
user789 0.0 0.0 1.0 16
user1459 0.0 0.0 1.0 21
user952 0.0 0.0 1.0 9
user168 0.0 0.0 1.0 19
user169 0.0 0.0 1.0 15
user170 0.0 0.0 1.0 9
user171 0.0 0.0 1.0 1
user954 0.0 0.0 1.0 2
user172 0.0 0.0 1.0 8
user666 0.0 0.0 1.0 12
user224 0.0 0.0 1.0 9
user174 0.0 0.0 1.0 3
user587 0.0 0.0 1.0 6
user491 0.0 0.0 1.0 8
user930 0.0 0.0 1.0 8
user348 0.0 0.0 1.0 13
user1043 0.0 0.0 1.0 5
user959 0.0 0.0 1.0 1
user932 0.0 0.0 1.0 18
user968 0.0 0.0 1.0 10
user673 0.0 0.0 1.0 10
user175 0.0 0.0 1.0 18
user772 0.0 0.0 1.0 5
user176 0.0 0.0 1.0 20
user1005 0.0 0.0 1.0 4
user837 0.0 0.0 1.0 17
user1228 0.0 0.0 1.0 2
user849 0.0 0.0 1.0 3
user177 0.0 0.0 1.0 13
user757 0.0 0.0 1.0 7
user938 0.0 0.0 1.0 4
user178 0.0 0.0 1.0 14
user755 0.0 0.0 1.0 1
user179 0.0 0.0 1.0 8
user1491 0.0 0.0 1.0 2
user180 0.0 0.0 1.0 13
user181 0.0 0.0 1.0 6
user1114 0.0 0.0 1.0 9
user328 0.0 0.0 1.0 5
