user oboCreateDigitalMediaAndReleases approve safeTransferFrom burnToken burnDigitalMedia transferFrom burn oboCreateDigitalMediaReleases session_count
user45 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 3
user44 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 9
user46 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user62 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user269 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user390 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user219 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user49 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 9
user578 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user65 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user66 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user313 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user51 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 9
user80 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user220 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user142 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 2
user399 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user57 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 3
user448 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user73 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user118 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user213 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 3
user158 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user152 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user202 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user187 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 4
user61 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user395 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user320 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user71 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user173 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
