user,cluster_id
user2,1
user3,2
user166,0
user5,0
user31,0
user221,0
user690,0
user570,0
user199,0
user58,0
user423,0
user29,0
user100,0
user38,0
user60,0
user92,0
user247,0
user207,0
user16,0
user318,0
user34,0
user53,0
user15,0
user56,0
user95,0
user24,0
user30,0
user27,0
user417,0
user384,0
user13,0
user279,0
user282,0
user47,0
user90,0
user189,0
user469,0
user19,0
user14,0
user174,0
user8,0
user28,0
user463,0
user20,0
user505,0
user458,0
user26,0
user52,0
user590,0
user32,0
user43,0
user87,0
user89,0
user248,0
user603,0
user424,0
user4,0
user40,0
user81,0
user98,0
user41,0
user97,0
user103,0
user104,0
user35,0
user452,0
user306,0
user557,0
user93,0
user151,0
user171,0
user175,0
user63,0
user45,0
user44,0
user46,0
user62,0
user269,0
user390,0
user219,0
user49,0
user578,0
user65,0
user66,0
user313,0
user51,0
user80,0
user220,0
user142,0
user399,0
user57,0
user448,0
user73,0
user118,0
user213,0
user158,0
user152,0
user202,0
user187,0
user61,0
user395,0
user320,0
user71,0
user173,0
user114,0
user94,0
user116,0
user64,0
user77,0
user88,0
user72,0
user82,0
user79,0
user86,0
user292,0
user109,0
user84,0
user397,0
user172,0
user107,0
user91,0
user159,0
user474,0
user102,0
user110,0
user379,0
user576,0
user294,0
user164,0
user10,0
user115,0
user212,0
user299,0
user252,0
user206,0
user351,0
user255,0
user194,0
user180,0
user161,0
user361,0
user195,0
user168,0
user434,0
user284,0
user169,0
user170,0
user349,0
user385,0
user266,0
user204,0
user335,0
user303,0
user305,0
user365,0
user186,0
user190,0
user178,0
user179,0
user411,0
user198,0
user182,0
user181,0
user188,0
user183,0
user203,0
user230,0
user231,0
user295,0
user290,0
user208,0
user193,0
user723,0
user314,0
user281,0
user211,0
user327,0
user270,0
user640,0
user309,0
user333,0
user210,0
user216,0
user301,0
user562,0
user719,0
user224,0
user225,0
user435,0
user237,0
user256,0
user39,0
user302,0
user226,0
user556,0
user518,0
user239,3
user663,0
user311,0
user244,0
user260,0
user250,0
user261,0
user251,0
user275,0
user374,0
user262,0
user575,0
user274,0
user357,0
user521,0
user346,0
user228,0
user276,0
user479,0
user277,0
user338,0
user271,0
user461,0
user264,0
user331,0
user285,0
user359,0
user360,0
user464,0
user296,0
user573,0
user298,0
user444,0
user421,0
user344,0
user566,0
user387,0
user369,0
user324,0
user358,0
user99,0
user402,0
user512,0
user334,0
user328,0
user528,0
user329,0
user467,0
user232,0
user345,0
user388,0
user441,0
user339,0
user342,0
user437,0
user470,0
user493,0
user393,0
user352,0
user353,3
user724,0
user240,0
user356,0
user362,0
user459,0
user364,0
user740,0
user383,0
user552,0
user108,0
user454,0
user487,0
user400,0
user377,0
user473,0
user412,0
user376,0
user481,0
user389,0
user386,0
user394,0
user415,0
user425,0
user426,0
user457,0
user519,0
user443,0
user405,0
user409,0
user495,0
user428,0
user442,0
user501,0
user593,0
user478,0
user645,0
user504,0
user427,0
user429,0
user477,0
user472,0
user722,0
user600,0
user430,0
user586,0
user543,0
user508,0
user509,0
user267,0
user525,0
user551,0
user414,0
user515,0
user523,0
user455,0
user482,0
user494,0
user475,0
user465,0
user436,0
user491,0
user499,0
user540,0
user601,0
user520,0
user497,0
user498,0
user559,0
user538,0
user530,0
user651,0
user568,0
user717,0
user558,0
user561,0
user608,0
user607,0
user579,0
user581,0
user639,0
user621,0
user628,0
user583,0
user678,0
user587,0
user605,0
user585,0
user599,0
user592,0
user588,0
user591,0
user665,0
user626,0
user597,0
user606,0
user595,0
user611,0
user718,0
user627,0
user644,0
user700,0
user635,0
user594,0
user619,0
user647,0
user632,0
user643,0
user634,0
user654,0
user721,0
user642,0
user612,0
user653,0
user725,0
user664,0
user666,0
user656,0
user660,0
user662,0
user667,0
user699,0
user735,0
user684,0
user692,0
user669,0
user679,0
user707,0
user670,0
user209,0
user672,0
user673,0
user683,0
user685,0
user676,0
user680,0
user686,0
user677,0
user743,0
user689,0
user702,0
user701,0
user712,0
user371,0
user732,0
user716,0
user746,0
user704,0
user706,0
user710,0
user709,0
user731,0
user730,0
user734,0
user741,0
user739,0
user748,0
