user punkNoLongerForSale withdrawBidForPunk transferPunk setInitialOwner buyPunk getPunk enterBidForPunk acceptBidForPunk offerPunkForSale offerPunkForSaleToAddress session_count
user752 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 54
user638 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 50
user57 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 113
user205 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 110
user891 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 52
user359 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 7
user465 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 3
user612 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 2
user776 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 14
user1247 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1.0 28
user1425 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 425
user696 1.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 5
user890 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 1.0 115
user357 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 35
user1117 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user579 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 2
user1245 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 7
user989 1.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 11
user942 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 11
user1284 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 73
user217 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 10
user874 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user1089 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 11
user18 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 180
user177 0.0 0.0 1.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 5
user980 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 2
user520 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 39
user100 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 86
user1361 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user569 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 4
user895 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 31
user414 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 2
user498 0.0 1.0 1.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 10
user1110 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 3
user309 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 2
user381 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 3
user280 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 0.0 6
user383 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user524 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 4
user692 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 9
user1348 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 8
user659 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 51
user683 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 2
user573 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 2
user712 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 58
user339 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user29 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 8
user37 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 7
user68 0.0 1.0 0.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 26
user1090 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 3
user1 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 218
user719 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 2
user773 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user775 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 3
user667 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 54
user180 1.0 0.0 1.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 21
user353 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 4
user937 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 1.0 97
user457 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 38
user370 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user36 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 0.0 42
user979 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 2
user823 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user814 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 8
user824 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user857 0.0 1.0 1.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 5
user987 0.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 6
user123 0.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 95
user101 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 93
user347 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 5
user819 1.0 1.0 0.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 30
user162 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user794 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 2
user670 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 11
user810 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 5
user253 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user419 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 39
user991 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 2
user846 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 10
user869 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 5
user672 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 9
user1000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 48
user606 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 6
user1251 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 6
user2 1.0 1.0 1.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 23
user780 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 14
user385 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user70 1.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 13
user173 1.0 1.0 0.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 52
user208 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 2
user707 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 17
user625 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 25
user1101 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 3
user192 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 2
user774 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 4
user439 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 6
user473 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 63
user258 1.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 6
