user acceptBid setSalePrice bid transfer cancelBid buy session_count
user957 0.0 0.0 1.0 0.0 1.0 0.0 3
user1102 0.0 0.0 1.0 0.0 0.0 1.0 2
user614 1.0 1.0 1.0 1.0 1.0 1.0 86
user761 0.0 0.0 0.0 1.0 0.0 1.0 2
user568 0.0 0.0 1.0 0.0 1.0 0.0 47
user751 0.0 0.0 1.0 0.0 0.0 0.0 2
user796 0.0 0.0 1.0 0.0 0.0 0.0 1
user664 0.0 1.0 1.0 1.0 1.0 1.0 66
user163 0.0 1.0 1.0 0.0 1.0 0.0 3
user301 0.0 1.0 1.0 1.0 1.0 1.0 7
user46 0.0 1.0 1.0 0.0 0.0 1.0 4
user1052 0.0 1.0 0.0 0.0 0.0 0.0 1
user74 1.0 1.0 1.0 0.0 1.0 1.0 30
user50 0.0 0.0 0.0 1.0 0.0 0.0 2
user518 0.0 1.0 0.0 1.0 0.0 0.0 3
user28 0.0 1.0 1.0 0.0 0.0 0.0 2
user640 1.0 1.0 1.0 1.0 1.0 1.0 282
user706 1.0 1.0 0.0 1.0 0.0 0.0 77
user781 1.0 1.0 0.0 1.0 0.0 0.0 16
user438 1.0 0.0 0.0 1.0 0.0 0.0 27
user1042 0.0 0.0 1.0 0.0 1.0 0.0 1
user278 0.0 0.0 1.0 0.0 1.0 0.0 10
user669 0.0 0.0 1.0 0.0 1.0 0.0 1
user363 0.0 0.0 1.0 0.0 0.0 0.0 2
user949 0.0 0.0 1.0 0.0 1.0 0.0 1
user721 0.0 0.0 1.0 0.0 1.0 0.0 2
user44 0.0 0.0 0.0 0.0 0.0 1.0 1
user41 0.0 0.0 0.0 1.0 0.0 1.0 1
user229 0.0 0.0 1.0 0.0 0.0 0.0 5
user271 0.0 0.0 1.0 0.0 1.0 0.0 8
user971 0.0 1.0 0.0 0.0 0.0 0.0 2
user319 0.0 0.0 1.0 0.0 0.0 0.0 1
user373 0.0 0.0 1.0 0.0 0.0 0.0 2
user30 1.0 1.0 0.0 1.0 0.0 0.0 11
user60 0.0 0.0 1.0 0.0 1.0 0.0 3
user1071 0.0 1.0 1.0 0.0 1.0 1.0 2
user42 0.0 0.0 0.0 0.0 0.0 1.0 1
user185 1.0 1.0 1.0 1.0 1.0 1.0 248
user691 0.0 0.0 1.0 0.0 1.0 0.0 2
user571 0.0 1.0 0.0 0.0 0.0 0.0 1
user116 0.0 0.0 0.0 1.0 0.0 1.0 11
user118 1.0 1.0 1.0 0.0 1.0 1.0 16
user521 1.0 1.0 1.0 1.0 1.0 1.0 57
user120 0.0 0.0 1.0 0.0 1.0 0.0 1
user155 1.0 0.0 1.0 0.0 1.0 0.0 2
user1103 0.0 0.0 1.0 0.0 1.0 0.0 1
user542 0.0 1.0 1.0 0.0 1.0 1.0 13
user197 1.0 0.0 1.0 0.0 0.0 0.0 3
user39 0.0 0.0 1.0 0.0 1.0 0.0 4
user167 0.0 0.0 0.0 1.0 0.0 0.0 3
user612 0.0 1.0 1.0 0.0 1.0 1.0 18
user171 0.0 1.0 0.0 1.0 0.0 0.0 3
user926 0.0 1.0 0.0 0.0 0.0 0.0 4
user38 0.0 1.0 0.0 0.0 0.0 0.0 2
user121 1.0 1.0 0.0 0.0 0.0 0.0 1
user451 1.0 1.0 1.0 0.0 1.0 1.0 30
user1081 0.0 0.0 1.0 0.0 1.0 0.0 1
user40 1.0 1.0 0.0 1.0 0.0 0.0 4
user45 0.0 0.0 1.0 0.0 1.0 0.0 1
