user addSales purchaseByEMONT airDrop purchase session_count
user182 0.0 0.0 1.0 1.0 2
user229 0.0 0.0 1.0 1.0 6
user237 0.0 1.0 1.0 1.0 7
user251 0.0 1.0 1.0 1.0 8
user50 0.0 1.0 1.0 1.0 6
user195 0.0 0.0 1.0 1.0 5
user292 0.0 1.0 1.0 1.0 5
user325 0.0 0.0 1.0 1.0 4
user343 0.0 0.0 1.0 1.0 2
user428 0.0 0.0 1.0 1.0 7
user471 0.0 0.0 1.0 1.0 4
user573 0.0 1.0 1.0 1.0 10
user62 0.0 1.0 1.0 1.0 7
user459 0.0 0.0 1.0 1.0 3
user132 0.0 1.0 1.0 1.0 10
user768 0.0 0.0 1.0 1.0 4
user876 0.0 1.0 1.0 1.0 8
user980 0.0 0.0 1.0 1.0 3
user306 0.0 1.0 1.0 1.0 8
user1041 0.0 0.0 1.0 1.0 3
user1067 0.0 0.0 1.0 1.0 6
user1080 0.0 0.0 1.0 1.0 6
user1289 0.0 0.0 1.0 1.0 3
user85 0.0 0.0 0.0 1.0 2
user134 0.0 0.0 1.0 1.0 6
user156 0.0 1.0 1.0 1.0 10
user204 0.0 0.0 1.0 1.0 5
user217 0.0 0.0 1.0 1.0 5
user239 0.0 0.0 1.0 1.0 4
user249 0.0 0.0 1.0 1.0 4
user265 0.0 0.0 1.0 1.0 5
user274 0.0 0.0 1.0 1.0 7
user101 0.0 1.0 1.0 1.0 7
user288 0.0 0.0 0.0 1.0 2
user178 0.0 0.0 1.0 1.0 6
user364 0.0 0.0 1.0 1.0 5
user385 0.0 0.0 1.0 1.0 2
user407 0.0 0.0 1.0 1.0 5
user620 0.0 0.0 1.0 1.0 3
user591 0.0 0.0 1.0 1.0 4
user1416 0.0 0.0 1.0 1.0 3
user161 0.0 0.0 1.0 1.0 2
user145 0.0 0.0 1.0 1.0 4
user302 0.0 0.0 1.0 1.0 5
user231 0.0 0.0 1.0 1.0 2
user391 0.0 0.0 1.0 1.0 4
user363 0.0 0.0 1.0 1.0 3
user472 0.0 0.0 1.0 1.0 2
user473 0.0 0.0 1.0 1.0 5
user438 0.0 1.0 1.0 1.0 7
user31 0.0 1.0 1.0 1.0 9
user622 0.0 0.0 1.0 1.0 4
user626 0.0 0.0 1.0 1.0 4
user928 0.0 0.0 1.0 1.0 4
user1393 0.0 1.0 1.0 1.0 6
user22 0.0 1.0 1.0 1.0 9
user184 0.0 1.0 1.0 1.0 7
user224 0.0 1.0 1.0 1.0 8
user211 0.0 1.0 1.0 1.0 7
user281 0.0 1.0 1.0 1.0 6
user284 0.0 1.0 1.0 1.0 6
user298 0.0 1.0 1.0 1.0 8
user348 0.0 0.0 1.0 1.0 2
user618 0.0 0.0 1.0 1.0 3
user449 0.0 1.0 1.0 1.0 7
user938 0.0 0.0 1.0 1.0 3
user429 0.0 0.0 1.0 1.0 6
user1361 0.0 1.0 1.0 1.0 8
user1391 0.0 0.0 1.0 1.0 2
user118 0.0 0.0 1.0 1.0 3
user142 0.0 1.0 1.0 1.0 6
user108 0.0 0.0 1.0 1.0 3
user361 0.0 0.0 1.0 1.0 3
user454 0.0 0.0 1.0 1.0 2
user283 0.0 0.0 1.0 1.0 5
user305 0.0 0.0 1.0 1.0 2
user720 0.0 1.0 1.0 1.0 4
user589 0.0 1.0 1.0 1.0 6
user971 0.0 0.0 1.0 1.0 3
user997 0.0 0.0 1.0 1.0 4
user148 0.0 0.0 1.0 1.0 4
user6 0.0 0.0 1.0 1.0 5
user225 0.0 0.0 1.0 1.0 4
user321 0.0 0.0 1.0 1.0 3
user206 0.0 0.0 1.0 1.0 4
user344 0.0 0.0 1.0 1.0 2
user352 0.0 0.0 1.0 1.0 3
user414 0.0 0.0 1.0 1.0 4
user286 0.0 0.0 1.0 1.0 6
user1413 0.0 0.0 1.0 1.0 2
user77 0.0 0.0 1.0 1.0 2
user166 0.0 0.0 1.0 1.0 2
user308 0.0 0.0 1.0 1.0 4
user327 0.0 1.0 1.0 1.0 7
user32 0.0 1.0 1.0 0.0 2
user35 0.0 1.0 1.0 0.0 2
user24 0.0 1.0 1.0 0.0 7
user51 0.0 1.0 1.0 0.0 2
user56 0.0 1.0 1.0 0.0 3
user70 0.0 1.0 0.0 0.0 1
user93 0.0 1.0 0.0 0.0 1
user129 0.0 1.0 1.0 0.0 7
user152 0.0 1.0 1.0 0.0 4
user176 0.0 1.0 1.0 0.0 7
user210 0.0 1.0 1.0 0.0 5
user212 0.0 1.0 1.0 0.0 5
user248 0.0 1.0 1.0 0.0 3
user276 0.0 1.0 1.0 0.0 3
user273 0.0 1.0 1.0 0.0 3
user280 0.0 1.0 1.0 0.0 4
user290 0.0 1.0 1.0 0.0 2
user295 0.0 1.0 1.0 0.0 6
user296 0.0 1.0 1.0 0.0 6
user312 0.0 1.0 1.0 0.0 6
user230 0.0 1.0 1.0 0.0 3
user315 0.0 1.0 0.0 0.0 1
user244 0.0 1.0 1.0 0.0 6
user232 0.0 1.0 1.0 0.0 6
user234 0.0 1.0 1.0 0.0 6
user236 0.0 1.0 1.0 0.0 6
