user cancelAuction bid createAuction session_count
user160 1.0 0.0 1.0 10
user313 1.0 0.0 1.0 3
user257 1.0 1.0 1.0 6
user161 1.0 0.0 1.0 2
user162 1.0 0.0 1.0 1
user163 1.0 0.0 1.0 2
user164 1.0 1.0 1.0 2
user165 1.0 0.0 1.0 3
user166 1.0 0.0 1.0 1
user167 1.0 0.0 1.0 1
user229 0.0 1.0 0.0 1
user168 1.0 0.0 1.0 1
user236 1.0 1.0 1.0 6
user169 1.0 0.0 1.0 2
user170 1.0 0.0 1.0 1
user171 1.0 0.0 1.0 2
user172 1.0 1.0 1.0 4
user174 0.0 0.0 1.0 1
user355 0.0 1.0 0.0 1
user175 1.0 0.0 1.0 4
user177 1.0 0.0 1.0 2
user178 1.0 0.0 1.0 32
user179 1.0 0.0 1.0 3
user180 1.0 0.0 1.0 1
user181 1.0 0.0 1.0 1
user182 0.0 0.0 1.0 2
user184 1.0 0.0 1.0 1
user185 1.0 1.0 1.0 2
user187 1.0 0.0 1.0 1
user278 1.0 1.0 1.0 26
user191 1.0 0.0 1.0 1
user192 1.0 1.0 1.0 47
user193 0.0 0.0 1.0 1
user194 1.0 0.0 1.0 1
user647 0.0 1.0 0.0 2
user412 1.0 1.0 1.0 12
user683 0.0 1.0 0.0 2
user196 1.0 0.0 1.0 6
user197 1.0 0.0 1.0 3
user198 1.0 0.0 1.0 1
user199 1.0 0.0 1.0 1
user201 0.0 0.0 1.0 1
user130 1.0 0.0 1.0 1
user202 1.0 0.0 1.0 2
user203 0.0 0.0 1.0 3
user204 1.0 0.0 1.0 1
user205 0.0 0.0 1.0 1
user206 1.0 0.0 1.0 1
user207 1.0 0.0 1.0 7
user208 1.0 0.0 1.0 1
user210 1.0 0.0 1.0 1
user211 1.0 0.0 1.0 1
user213 1.0 0.0 1.0 2
user387 1.0 1.0 1.0 2
user215 1.0 0.0 1.0 1
user216 1.0 0.0 1.0 1
user217 1.0 0.0 1.0 2
user218 1.0 0.0 1.0 2
user219 1.0 0.0 1.0 2
user220 1.0 0.0 1.0 1
user222 1.0 0.0 1.0 6
user396 0.0 1.0 1.0 2
user223 1.0 0.0 1.0 1
user224 0.0 0.0 1.0 1
user225 1.0 0.0 1.0 7
user226 1.0 0.0 1.0 1
user227 0.0 0.0 1.0 1
user415 0.0 1.0 0.0 1
user228 1.0 0.0 1.0 3
user230 1.0 0.0 1.0 1
user231 1.0 0.0 1.0 6
user232 0.0 0.0 1.0 2
user233 1.0 0.0 1.0 1
user377 0.0 1.0 0.0 2
user235 1.0 0.0 1.0 6
user318 1.0 0.0 1.0 8
user237 1.0 0.0 1.0 3
user238 1.0 0.0 1.0 5
user240 1.0 0.0 1.0 1
user241 1.0 0.0 1.0 3
user291 0.0 1.0 0.0 1
user242 1.0 0.0 1.0 1
user243 1.0 0.0 1.0 2
user245 1.0 1.0 1.0 1
user244 1.0 0.0 1.0 2
user246 1.0 0.0 1.0 4
user248 0.0 0.0 1.0 1
user250 1.0 0.0 1.0 1
user251 0.0 0.0 1.0 1
user252 1.0 1.0 1.0 2
user351 0.0 1.0 0.0 1
user253 1.0 0.0 1.0 1
user254 1.0 0.0 1.0 2
user255 0.0 0.0 1.0 1
user259 0.0 1.0 0.0 2
user258 1.0 0.0 1.0 1
user260 1.0 0.0 1.0 1
user261 0.0 0.0 1.0 12
user274 1.0 1.0 1.0 39
user263 0.0 0.0 1.0 2
user265 1.0 0.0 1.0 1
user266 0.0 0.0 1.0 2
user267 1.0 0.0 1.0 3
user540 0.0 1.0 0.0 1
user268 1.0 0.0 1.0 2
user269 1.0 0.0 1.0 12
user406 0.0 1.0 0.0 29
user270 1.0 0.0 1.0 1
user271 0.0 0.0 1.0 4
user272 1.0 0.0 1.0 7
user273 1.0 0.0 1.0 6
user343 1.0 1.0 1.0 2
user357 0.0 1.0 0.0 1
user247 1.0 1.0 1.0 4
user277 0.0 0.0 1.0 1
user361 0.0 1.0 0.0 9
user282 0.0 1.0 0.0 2
user317 1.0 1.0 1.0 25
user280 0.0 0.0 1.0 3
user281 0.0 0.0 1.0 1
user283 1.0 0.0 1.0 7
user285 0.0 0.0 1.0 1
