57036  transactions
creator setV1DigitalMediaStoreAddress  success
creator addApprovedTokenCreator  success
creator unpause  success
user1 setOboApprovalForAll  fail
user1 setOboApprovalForAll  fail
user1 setOboApprovalForAll  fail
user2 oboCreateDigitalMediaAndReleases 86;5080 success
user2 oboCreateDigitalMediaAndReleases 87;5081 success
user3 approve 86 success
user3 approve 84 success
user3 approve 87 success
user2 oboCreateDigitalMediaAndReleases 88;5082 success
user2 oboCreateDigitalMediaAndReleases 89;5083 success
user2 oboCreateDigitalMediaAndReleases 90;5084 success
user3 approve 90 success
user2 oboCreateDigitalMediaAndReleases 91;5085 success
user3 approve 91 success
user2 oboCreateDigitalMediaAndReleases 92;5086 success
user3 approve 92 success
user2 oboCreateDigitalMediaAndReleases 93;5087 success
user3 approve 89 success
user3 approve 88 success
user3 approve 93 success
user2 oboCreateDigitalMediaAndReleases 94;5088 success
user3 approve 94 success
user2 oboCreateDigitalMediaAndReleases 95;5089 success
user3 approve 95 success
user2 oboCreateDigitalMediaAndReleases 96;5090 success
user3 approve 96 success
user2 oboCreateDigitalMediaAndReleases 97;5091 success
user3 approve 97 success
user2 oboCreateDigitalMediaAndReleases 98;5092 success
user3 approve 98 success
user2 oboCreateDigitalMediaReleases 99;2768 success
user3 approve 99 success
user2 oboCreateDigitalMediaAndReleases 100;5093 success
user3 approve 100 success
user2 oboCreateDigitalMediaAndReleases 101;5094 success
user3 approve 101 success
user6 setApprovalForAll  success
user6 setApprovalForAll  success
user3 approve 53 success
user2 oboCreateDigitalMediaAndReleases 102;5095 success
user3 approve 102 success
user2 oboCreateDigitalMediaAndReleases 103;5096 success
user2 oboCreateDigitalMediaAndReleases 104;5097 success
user3 approve 104 success
user3 approve 75 success
user2 oboCreateDigitalMediaAndReleases 105;5098 success
user3 approve 105 success
user2 oboCreateDigitalMediaAndReleases 106;5099 success
user3 approve 106 success
user2 oboCreateDigitalMediaAndReleases 107;5100 success
user3 approve 107 success
